state,year,yearly_avg_snow,yearly_max_temp,yearly_min_temp,yearly_avg_temp,yearly_avg_prcp,yearly_min_prcp,yearly_max_prcp,avg_snow_summer,avg_snow_winter,max_temp_summer,max_temp_winter,min_temp_summer,min_temp_winter,avg_temp_summer,avg_temp_winter,avg_prcp_summer,avg_prcp_winter,total pop,in-state pop,percentage,top1,top1 state
Alaska,2005,6.230833333333334,73.5,-22.7,35.053333333333335,3.2100000000000004,1.59,6.21,1.4599999999999997,12.91,73.5,45.8,-3.8,-22.7,46.86428571428571,18.518,3.174285714285715,3.2600000000000002,115525,84150,27.158623674529323,5711,Washington
Alaska,2006,7.0950000000000015,70.1,-29.7,32.06666666666667,2.8375,0.99,5.69,2.1385714285714283,14.034,70.1,43.6,-9.8,-29.7,45.24571428571428,13.616,3.5228571428571427,1.8780000000000001,139758,102086,26.9551653572604,4850,Washington
Alaska,2007,6.613333333333333,75.1,-25.8,33.52583333333334,2.6350000000000002,0.76,5.82,1.2442857142857144,14.13,75.1,44.1,3.2,-25.8,46.28857142857144,15.657999999999998,2.912857142857143,2.246,135095,98512,27.07946260039231,3985,California
Alaska,2008,8.601666666666668,70.2,-23.0,31.105833333333333,2.935833333333333,2.04,5.32,3.3328571428571427,15.978000000000003,70.2,42.8,-0.9,-23.0,43.21,14.16,3.4085714285714284,2.274,150412,110205,26.73124484748557,4951,California
Alaska,2009,8.861666666666666,78.6,-24.4,32.7275,2.755833333333333,1.28,4.56,1.4385714285714286,19.253999999999998,78.6,44.1,-4.6,-24.4,45.86,14.341999999999999,2.674285714285714,2.87,147525,107051,27.435349940688013,3780,California
Alaska,2010,5.4075,72.0,-29.1,33.59083333333333,2.6025,1.19,4.31,1.9528571428571426,10.244,72.0,45.7,0.9,-29.1,45.84285714285714,16.438,2.7585714285714285,2.384,697235,660909,5.210008103437147,4123,Texas
Alaska,2011,7.995,71.1,-22.3,32.84583333333333,3.0483333333333333,0.77,5.48,2.2057142857142855,16.1,71.1,42.8,-9.3,-22.3,45.22714285714286,15.512,3.174285714285715,2.872,707221,672137,4.960825541096769,4548,Washington
Alaska,2012,7.418333333333333,72.2,-45.1,30.401666666666667,2.8783333333333334,1.09,7.38,1.6114285714285714,15.548000000000002,72.2,43.7,-1.0,-45.1,44.21714285714285,11.06,3.27,2.33,716579,683164,4.663128559447038,3725,Washington
Alaska,2013,6.785833333333334,78.3,-22.5,34.40416666666667,3.345833333333333,1.54,6.77,1.8214285714285712,13.735999999999999,78.3,45.0,-5.9,-22.5,45.80142857142857,18.448,3.5957142857142856,2.9959999999999996,718112,683752,4.784768949690299,2984,Washington
Alaska,2014,3.7475,69.5,-19.7,36.40916666666667,3.018333333333334,1.1,5.15,1.1071428571428572,7.443999999999998,69.5,46.3,-3.8,-19.7,46.370000000000005,22.464,3.285714285714286,2.6439999999999997,721116,683274,5.247699399264471,4841,Washington
Alaska,2015,5.000000000000001,72.6,-22.0,36.029999999999994,3.4491666666666667,1.47,6.19,1.647142857142857,9.693999999999999,72.6,46.9,1.5,-22.0,47.31428571428571,20.232000000000003,3.575714285714286,3.272,723374,688678,4.796412367599611,3988,Washington
Alaska,2016,3.0375,72.2,-16.1,37.97916666666667,3.0549999999999997,2.0,5.52,0.7357142857142858,6.260000000000001,72.2,47.8,5.9,-16.1,48.85285714285714,22.756,3.1928571428571426,2.8619999999999997,725201,693901,4.3160447930987385,4888,Washington
Alaska,2017,5.770833333333333,76.1,-21.6,34.85,3.0425000000000004,1.15,5.51,1.002857142857143,12.446000000000002,76.1,43.6,0.2,-21.6,47.25857142857143,17.478,3.4642857142857144,2.452,724171,693972,4.170147658495027,3653,Washington
Alaska,2018,5.574166666666668,74.9,-18.4,36.291666666666664,3.0775,1.74,5.82,0.8028571428571428,12.254000000000001,74.9,48.7,-0.5,-18.4,47.58714285714285,20.477999999999998,3.371428571428571,2.666,722035,689936,4.44562936699745,3455,California
Alaska,2019,6.273333333333333,76.0,-21.9,38.097500000000004,3.0233333333333334,1.57,5.27,1.2042857142857142,13.37,76.0,48.5,2.2,-21.9,48.964285714285715,22.883999999999997,2.882857142857143,3.2199999999999998,717768,683737,4.741225577066688,4332,Texas
Alaska,2021,9.310833333333333,75.4,-30.4,32.6625,3.0275000000000003,2.0,4.82,2.75,18.496000000000002,75.4,44.7,-1.4,-30.4,45.46857142857143,14.733999999999998,3.3285714285714287,2.6060000000000003,720077,688699,4.357589535563555,3808,California
Alaska,2022,6.554166666666667,74.3,-23.1,35.15416666666666,3.6300000000000003,0.89,6.97,1.0214285714285716,14.3,74.3,45.4,-5.0,-23.1,46.642857142857146,19.07,3.8214285714285716,3.3619999999999997,719005,682442,5.08522193865133,4215,Utah
Alabama,2005,0.0,93.0,28.8,64.1675,4.2683333333333335,0.5,7.69,0.0,0.0,93.0,72.6,48.0,28.8,73.43857142857142,51.188,4.42,4.056,692128,580353,16.149469462295997,17776,Georgia
Alabama,2006,0.011666666666666667,96.0,32.2,65.025,3.973333333333333,2.83,5.34,0.0,0.028000000000000004,96.0,73.8,46.5,32.2,74.46571428571428,51.80800000000001,3.6699999999999995,4.398,731755,593683,18.868610395555883,21146,Georgia
Alabama,2007,0.0275,99.5,29.9,65.46416666666666,2.9325000000000006,0.77,5.51,0.0,0.066,99.5,76.9,45.3,29.9,74.99428571428572,52.122,3.075714285714285,2.7319999999999998,742402,604287,18.603802252687895,26244,Georgia
Alabama,2008,0.025000000000000005,95.3,29.5,63.83583333333333,4.278333333333333,1.39,8.13,0.0,0.06000000000000001,95.3,71.6,47.5,29.5,73.41999999999999,50.41799999999999,4.142857142857143,4.468000000000001,694821,573316,17.487237720218584,22022,Georgia
Alabama,2009,0.08083333333333333,97.4,30.0,63.901666666666664,5.520833333333333,2.37,8.05,0.0,0.194,97.4,73.7,48.1,30.0,73.3957142857143,50.61,5.4485714285714275,5.622,704473,579815,17.69521330129047,20889,Georgia
Alabama,2010,0.21333333333333335,95.9,26.7,63.61416666666668,3.853333333333333,1.41,6.54,0.0,0.512,95.9,72.3,46.3,26.7,76.11000000000001,46.12,3.5542857142857143,4.272,4716343,4607620,2.3052394620153738,21644,Georgia
Alabama,2011,0.375,97.3,27.8,64.80999999999999,4.208333333333333,0.85,8.09,0.0,0.9,97.3,74.7,46.1,27.8,74.45571428571428,51.306000000000004,3.91,4.626,4730461,4612735,2.4886792217502673,20063,Florida
Alabama,2012,0.0,96.0,35.2,66.12,4.108333333333333,1.35,6.22,0.0,0.0,96.0,78.6,48.7,35.2,74.23428571428572,54.760000000000005,3.997142857142857,4.264,4749186,4644586,2.20248269914044,19920,Georgia
Alabama,2013,0.0775,91.3,35.0,63.69333333333333,5.2375,1.53,9.99,0.0,0.186,91.3,68.5,49.4,35.0,73.27714285714286,50.275999999999996,5.031428571428572,5.526,4766368,4662266,2.184094891540056,17867,Georgia
Alabama,2014,0.31916666666666665,93.8,22.0,63.086666666666666,4.5683333333333325,2.16,10.29,0.0,0.766,93.8,68.5,48.8,22.0,73.96142857142857,47.862,4.6657142857142855,4.4319999999999995,4778652,4670733,2.2583565407148343,20220,Georgia
Alabama,2015,0.295,95.2,26.6,65.685,5.194999999999999,2.79,10.14,0.0,0.708,95.2,74.0,50.6,26.6,75.08,52.532,4.75,5.818,4789840,4674964,2.3983264576687313,27433,Georgia
Alabama,2016,0.010833333333333334,95.8,30.7,66.51333333333334,3.6291666666666664,0.11,5.68,0.0,0.026000000000000002,95.8,76.3,51.0,30.7,76.16142857142857,53.00599999999999,2.9414285714285713,4.5920000000000005,4794064,4671844,2.549402761414954,23008,Georgia
Alabama,2017,0.1475,93.8,33.0,66.16583333333334,5.156666666666667,1.04,9.55,0.0,0.354,93.8,74.9,50.6,33.0,74.42428571428572,54.604,5.938571428571429,4.061999999999999,4805676,4693873,2.3264781063059625,22363,Georgia
Alabama,2018,0.014166666666666668,93.1,27.1,65.68416666666667,5.262499999999999,2.3,10.06,0.0,0.034,93.1,73.7,45.5,27.1,75.74571428571429,51.598,4.615714285714285,6.168,4817241,4707940,2.268954366202558,18433,Georgia
Alabama,2019,0.01916666666666667,97.0,34.1,66.58333333333334,4.618333333333332,0.4,7.5,0.0,0.046,97.0,71.5,50.7,34.1,76.47714285714287,52.73199999999999,4.328571428571428,5.024,4837320,4732540,2.16607543019689,15519,Florida
Alabama,2021,0.10000000000000002,91.3,31.9,65.12,5.516666666666667,1.57,9.76,0.0,0.24000000000000005,91.3,75.1,47.3,31.9,73.77,53.010000000000005,6.287142857142858,4.438000000000001,4977176,4861535,2.323425974890181,22507,Florida
Alabama,2022,0.09416666666666668,95.3,28.4,65.145,4.730833333333333,2.36,7.72,0.0,0.22599999999999998,95.3,75.1,45.4,28.4,74.53285714285714,52.00200000000001,4.297142857142857,5.338,5008263,4869000,2.7806646735604734,23155,Georgia
Arkansas,2005,0.08583333333333333,99.4,24.0,63.214999999999996,2.6041666666666665,0.69,5.13,0.0,0.20600000000000002,99.4,71.5,44.4,24.0,73.61857142857143,48.65,2.5428571428571423,2.69,487236,390364,19.881946325805156,19937,Texas
Arkansas,2006,0.375,98.9,26.0,63.44666666666666,3.6641666666666666,1.76,5.45,0.0,0.9,98.9,70.5,44.7,26.0,73.55571428571429,49.294,3.257142857142857,4.234,523905,416998,20.40579876122579,15022,Texas
Arkansas,2007,0.049999999999999996,98.9,24.5,62.685833333333335,3.5025,0.95,6.61,0.0,0.12,98.9,74.6,39.9,24.5,72.8742857142857,48.422,3.5899999999999994,3.3800000000000003,514949,425248,17.419394930371745,18459,Texas
Arkansas,2008,0.18333333333333335,95.6,24.7,61.086666666666666,4.5249999999999995,1.55,8.15,0.0,0.44000000000000006,95.6,69.6,43.5,24.7,71.63,46.32600000000001,4.9799999999999995,3.8879999999999995,503405,414632,17.63450899375254,19551,Texas
